,mars,moon_col_1,resourcefulness,chron_dist,saturn,emot_vol,ingenuity,moon_col_2,collaboration,env_destr,earth,jupiter,sex,brain_wave,given_name,surname,zipcode,date_of_birth,state,class
0,0.43,0.07,0.22543089031394076,0.4286422540201317,2056,0.4286422540201317,-0.7636179834755972,0.03,0.4286422540201317,-1.1869125921324102,0.43,29161,'egg',ALPHA,Megan,Smith,34414,1947-05-01,'Ohio',0
1,0.68,0.07,0.3327343252201824,0.6802422503747709,2280,0.6802422503747709,-1.0982115092024047,0.03,0.6802422503747709,1.104698103117662,0.68,23910,'egg',BETA,Nicole,Lewis,02763,1953-04-12,'Indiana',1
2,0.88,0.07,0.43187322402692746,0.8821922272845394,2860,0.8821922272845394,-1.4258689834362994,0.03,0.8821922272845394,1.3900295905888695,0.88,17407,'egg',BETA,Whitney,Davis,70894,1983-10-08,'Illinois',1
3,0.28,0.07,0.15542233534408062,0.28381292612646386,1253,0.28381292612646386,-0.533584649268545,0.03,0.28381292612646386,-1.5216591830227388,0.28,25086,'seed',THETA,Alan,Lewis,37219,2002-04-26,nan,0
4,0.88,0.07,0.433255277274572,0.8843155182098339,1060,nan,-1.4308568868288238,0.03,0.8843155182098339,1.352451819103271,0.88,17751,'egg',BETA,Brenda,Henderson,07215,1943-01-15,'Kansas',1
5,0.68,0.07,0.3327343252201824,0.6802422503747709,2280,0.6802422503747709,-1.0982115092024047,0.03,0.6802422503747709,1.104698103117662,0.68,23910,'egg',BETA,Nicole,Lewis,02763,1953-04-12,'Indiana',1
6,0.75,0.07,0.3846533490989564,0.752394870580323,2931,0.752394870580323,-1.290211937969933,0.03,0.752394870580323,-0.7640857774360573,0.75,19232,'seed',BETA,Victor,Smith,58572,1995-10-25,'Indiana',0
7,0.41,0.07,0.2162949484035946,0.40949128341937846,2081,0.40949128341937846,-0.7337516710293837,0.03,0.40949128341937846,-1.2456751424824168,0.41,18168,'egg',THETA,Melissa,Rosales,97532,1921-03-30,'New Mexico',0
8,0.45,0.07,0.2218046905745588,0.45269177420769047,1953,0.45269177420769047,-0.7325459737566835,0.03,0.45269177420769047,0.6904143344556382,0.45,14745,'seed',THETA,Michael,Hall,27409,1928-02-09,'New York',1
9,0.28,0.07,0.1494797696568884,0.27585332160098897,1822,0.27585332160098897,-0.5114271340006524,0.03,0.27585332160098897,-1.2898142486487603,0.28,15596,'egg',THETA,Amy,Bennett,21702,1933-08-02,'New York',0
10,0.37,0.07,0.17936146155044366,0.3677091877765293,1718,0.3677091877765293,-0.5913734497539251,0.03,0.3677091877765293,0.6568932153654043,0.37,10079,'egg',BETA,Julia,Stanton,60479,1958-07-12,'Wisconsin',1
11,-0.29,0.07,0.12689702116429366,-0.2901012567310349,2370,-0.2901012567310349,-0.4002081356076206,0.03,0.2901012567310349,nan,-0.29,11981,'egg',ALPHA,Candice,Miller,08760,1975-03-29,'Iowa',0
12,-0.48,0.07,0.23503183121242258,-0.4780966921845479,1783,-0.4780966921845479,-0.7771967573420437,0.03,0.4780966921845479,-0.6360471322673282,-0.48,29389,'seed',BETA,Justin,Brown,15767,2015-10-03,'Minnesota',1
13,1.12,0.07,0.5650969679444925,1.1179302187473759,2219,1.1179302187473759,-1.8878203112449672,0.03,1.1179302187473759,-0.36699363840733434,1.12,25045,'egg',ALPHA,Kayla,White,81948,1976-01-11,'Mississippi',0
